name,grammar,hop,n_edges,n_pairs,hide_hop_token,schedule,attn,krylov_m,krylov_rho,krylov_beta,krylov_state_decay,n_layers,d_model,n_heads,d_ff,seed,steps_budget,solved_step,best_acc,best_eval_loss,final_acc,final_eval_loss,final_ppl,elapsed_s
path_h2_d2_softmax_m1_seed1,path,2,3,6,True,softmax>softmax,softmax,1,1.0,0.5,1.0,2,128,4,512,1,30000,2250,0.9953125,0.6798242176280302,0.9953125,0.6798242176280302,1.9735307898147716,5.135156154632568
path_h2_d2_softmax_m1_seed2,path,2,3,6,True,softmax>softmax,softmax,1,1.0,0.5,1.0,2,128,4,512,2,30000,1500,0.996875,0.6984038577360265,0.996875,0.6984038577360265,2.010541035489442,3.3550055027008057
path_h2_d2_softmax_m1_seed3,path,2,3,6,True,softmax>softmax,softmax,1,1.0,0.5,1.0,2,128,4,512,3,30000,5750,0.99140625,0.6770187546225155,0.99140625,0.6772480375626508,1.9684531623851456,12.684669017791748
path_h2_d2_krylov_m1_seed1,path,2,3,6,True,krylov>krylov,krylov,1,1.0,0.5,1.0,2,128,4,512,1,30000,10000,1.0,0.6742626246284036,1.0,0.6742626246284036,1.9625852802375485,134.40251636505127
path_h2_d2_krylov_m1_seed2,path,2,3,6,True,krylov>krylov,krylov,1,1.0,0.5,1.0,2,128,4,512,2,30000,4750,1.0,0.6808017674614402,1.0,0.6808017674614402,1.9754609577735613,63.95604228973389
path_h2_d2_krylov_m1_seed3,path,2,3,6,True,krylov>krylov,krylov,1,1.0,0.5,1.0,2,128,4,512,3,30000,10250,1.0,0.675616247513715,1.0,0.675616247513715,1.9652436794163224,138.1894371509552
path_h2_d2_krylov_m2_seed1,path,2,3,6,True,krylov>krylov,krylov,2,1.0,0.5,1.0,2,128,4,512,1,30000,6250,0.99921875,0.6785262304193833,0.99921875,0.6785262304193833,1.9709708338481824,132.5430793762207
path_h2_d2_krylov_m2_seed2,path,2,3,6,True,krylov>krylov,krylov,2,1.0,0.5,1.0,2,128,4,512,2,30000,5750,1.0,0.6789056048673742,1.0,0.6789056048673742,1.9717187116741786,122.64748787879944
path_h2_d2_krylov_m2_seed3,path,2,3,6,True,krylov>krylov,krylov,2,1.0,0.5,1.0,2,128,4,512,3,30000,8000,1.0,0.6772717447841868,1.0,0.6772717447841868,1.968499829493521,170.5622832775116
path_h2_d2_krylov_m3_seed1,path,2,3,6,True,krylov>krylov,krylov,3,1.0,0.5,1.0,2,128,4,512,1,30000,5750,0.99140625,0.6793481490191291,0.99140625,0.6793481490191291,1.9725914773633675,165.64125108718872
path_h2_d2_krylov_m3_seed2,path,2,3,6,True,krylov>krylov,krylov,3,1.0,0.5,1.0,2,128,4,512,2,30000,5750,1.0,0.6789078488069422,1.0,0.6789078488069422,1.9717231360967766,163.25304079055786
path_h2_d2_krylov_m3_seed3,path,2,3,6,True,krylov>krylov,krylov,3,1.0,0.5,1.0,2,128,4,512,3,30000,7250,1.0,0.6777956373551313,1.0,0.6777956373551313,1.9695313821178826,207.8292272090912
path_h2_d2_krylov_then_softmax_m1_seed1,path,2,3,6,True,krylov>softmax,krylov,1,1.0,0.5,1.0,2,128,4,512,1,30000,14750,1.0,0.6713444934171788,1.0,0.6713444934171788,1.9568665469418072,119.02450513839722
path_h2_d2_krylov_then_softmax_m1_seed2,path,2,3,6,True,krylov>softmax,krylov,1,1.0,0.5,1.0,2,128,4,512,2,30000,,0.5484375,0.7115340008455164,0.50234375,0.7136245362898883,2.041376910472963,243.0459327697754
path_h2_d2_krylov_then_softmax_m1_seed3,path,2,3,6,True,krylov>softmax,krylov,1,1.0,0.5,1.0,2,128,4,512,3,30000,2000,1.0,0.6852648791144876,1.0,0.6852648791144876,1.984297364862101,16.343304872512817
path_h2_d2_krylov_then_softmax_m2_seed1,path,2,3,6,True,krylov>softmax,krylov,2,1.0,0.5,1.0,2,128,4,512,1,30000,2500,0.996875,0.6844697279088637,0.996875,0.6844697279088637,1.9827201755552042,29.648930072784424
path_h2_d2_krylov_then_softmax_m2_seed2,path,2,3,6,True,krylov>softmax,krylov,2,1.0,0.5,1.0,2,128,4,512,2,30000,27250,0.99375,0.6735271257512709,0.99375,0.6735674830044017,1.9612214795908183,319.46620082855225
path_h2_d2_krylov_then_softmax_m2_seed3,path,2,3,6,True,krylov>softmax,krylov,2,1.0,0.5,1.0,2,128,4,512,3,30000,2000,1.0,0.6845884771908031,1.0,0.6845884771908031,1.9829556361324485,23.68720769882202
path_h2_d2_krylov_then_softmax_m3_seed1,path,2,3,6,True,krylov>softmax,krylov,3,1.0,0.5,1.0,2,128,4,512,1,30000,4500,1.0,0.6759878943948184,1.0,0.6759878943948184,1.9659741918383091,69.69580364227295
path_h2_d2_krylov_then_softmax_m3_seed2,path,2,3,6,True,krylov>softmax,krylov,3,1.0,0.5,1.0,2,128,4,512,2,30000,6000,0.990625,0.6983133568483241,0.990625,0.6983133568483241,2.010359087974298,92.77479434013367
path_h2_d2_krylov_then_softmax_m3_seed3,path,2,3,6,True,krylov>softmax,krylov,3,1.0,0.5,1.0,2,128,4,512,3,30000,2000,0.99765625,0.6880881141213809,0.99765625,0.6880881141213809,1.9899074181697938,31.502238512039185
path_h2_d3_softmax_m1_seed1,path,2,3,6,True,softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,3,128,4,512,1,30000,2500,0.996875,0.6791440262514002,0.996875,0.6791440262514002,1.972188867623715,7.176598787307739
path_h2_d3_softmax_m1_seed2,path,2,3,6,True,softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,3,128,4,512,2,30000,2750,0.990625,0.6857292820425595,0.990625,0.6857292820425595,1.9852190923784212,7.970714807510376
path_h2_d3_softmax_m1_seed3,path,2,3,6,True,softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,3,128,4,512,3,30000,4000,0.99765625,0.6790102453792797,0.99765625,0.6790102453792797,1.97192504412468,11.599328756332397
path_h2_d3_krylov_m1_seed1,path,2,3,6,True,krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,3,128,4,512,1,30000,8500,1.0,0.67363099490895,1.0,0.67363099490895,1.961346044457862,166.7243151664734
path_h2_d3_krylov_m1_seed2,path,2,3,6,True,krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,3,128,4,512,2,30000,8000,1.0,0.675724671868717,1.0,0.675724671868717,1.9654567712466482,157.38511562347412
path_h2_d3_krylov_m1_seed3,path,2,3,6,True,krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,3,128,4,512,3,30000,7500,1.0,0.6732166458578671,1.0,0.6732166458578671,1.9605335309292256,148.3921205997467
path_h2_d3_krylov_m2_seed1,path,2,3,6,True,krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,3,128,4,512,1,30000,7500,1.0,0.6741850852966309,1.0,0.6741850852966309,1.9624331085860922,237.9802474975586
path_h2_d3_krylov_m2_seed2,path,2,3,6,True,krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,3,128,4,512,2,30000,6500,0.99921875,0.6755692510043874,0.99921875,0.6755692510043874,1.965151321993667,204.25824165344238
path_h2_d3_krylov_m2_seed3,path,2,3,6,True,krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,3,128,4,512,3,30000,12250,1.0,0.6724879377028521,1.0,0.6724879377028521,1.9591053945675605,383.55408334732056
path_h2_d3_krylov_m3_seed1,path,2,3,6,True,krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,3,128,4,512,1,30000,7250,1.0,0.6781382700976204,1.0,0.6781382700976204,1.970206323678692,318.80589056015015
path_h2_d3_krylov_m3_seed2,path,2,3,6,True,krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,3,128,4,512,2,30000,6250,1.0,0.6761732662425322,1.0,0.6761732662425322,1.9663386618870071,270.62162733078003
path_h2_d3_krylov_m3_seed3,path,2,3,6,True,krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,3,128,4,512,3,30000,12500,1.0,0.6729463437024285,1.0,0.6729463437024285,1.9600036661050337,538.8772141933441
path_h2_d3_krylov_then_softmax_m1_seed1,path,2,3,6,True,krylov>krylov>softmax,krylov,1,1.0,0.5,1.0,3,128,4,512,1,30000,6000,0.99453125,0.6801672514747171,0.99453125,0.6801672514747171,1.9742078938013097,85.27089858055115
path_h2_d3_krylov_then_softmax_m1_seed2,path,2,3,6,True,krylov>krylov>softmax,krylov,1,1.0,0.5,1.0,3,128,4,512,2,30000,6000,1.0,0.6760290314169491,1.0,0.6760290314169491,1.9660550678256343,85.83056569099426
path_h2_d3_krylov_then_softmax_m1_seed3,path,2,3,6,True,krylov>krylov>softmax,krylov,1,1.0,0.5,1.0,3,128,4,512,3,30000,7000,1.0,0.6741808330311495,1.0,0.6741808330311495,1.9624247638172672,99.41039538383484
path_h2_d3_krylov_then_softmax_m2_seed1,path,2,3,6,True,krylov>krylov>softmax,krylov,2,1.0,0.5,1.0,3,128,4,512,1,30000,11500,1.0,0.6733193032881792,1.0,0.6733193032881792,1.9607348045944932,249.24886298179626
